,accuracy
0,0.02
1,0.03333333333333333
2,0.02
3,0.02666666666666667
4,0.016666666666666666
5,0.013333333333333334
6,0.02
7,0.013333333333333334
8,0.04666666666666667
9,0.023333333333333334
10,0.013333333333333334
11,0.016666666666666666
12,0.016666666666666666
13,0.03
14,0.016666666666666666
15,0.013333333333333334
16,0.02
17,0.03
18,0.016666666666666666
19,0.016666666666666666
20,0.023333333333333334
21,0.006666666666666667
22,0.03333333333333333
23,0.02
24,0.01
25,0.013333333333333334
26,0.006666666666666667
27,0.016666666666666666
28,0.03
29,0.023333333333333334
30,0.016666666666666666
31,0.02666666666666667
32,0.016666666666666666
33,0.03333333333333333
34,0.023333333333333334
35,0.02666666666666667
36,0.05333333333333334
37,0.04666666666666667
38,0.04666666666666667
39,0.006666666666666667
40,0.016666666666666666
41,0.013333333333333334
42,0.023333333333333334
43,0.02666666666666667
44,0.05333333333333334
45,0.03
46,0.023333333333333334
47,0.03
48,0.04666666666666667
49,0.04666666666666667
50,0.04
51,0.03
52,0.03333333333333333
53,0.03666666666666667
54,0.023333333333333334
55,0.03333333333333333
56,0.03
57,0.03
58,0.03
59,0.043333333333333335
60,0.043333333333333335
61,0.03
62,0.03
63,0.03333333333333333
64,0.04
65,0.043333333333333335
66,0.04
67,0.03666666666666667
68,0.02666666666666667
69,0.06666666666666667
70,0.043333333333333335
71,0.04
72,0.043333333333333335
73,0.03333333333333333
74,0.03666666666666667
75,0.016666666666666666
76,0.023333333333333334
77,0.05333333333333334
78,0.03333333333333333
79,0.04666666666666667
80,0.043333333333333335
81,0.023333333333333334
82,0.043333333333333335
83,0.03333333333333333
84,0.03666666666666667
85,0.043333333333333335
86,0.043333333333333335
87,0.04
88,0.043333333333333335
89,0.043333333333333335
90,0.056666666666666664
91,0.04
92,0.03
93,0.056666666666666664
94,0.043333333333333335
95,0.03
96,0.05333333333333334
97,0.043333333333333335
98,0.03
99,0.013333333333333334
100,0.04
101,0.04666666666666667
102,0.04666666666666667
103,0.04666666666666667
104,0.04666666666666667
105,0.03
106,0.02666666666666667
107,0.03333333333333333
108,0.04
109,0.03
110,0.05333333333333334
111,0.04666666666666667
112,0.04
113,0.04666666666666667
